Indicador;Tipo;Ano;Tipo valor;Valor
"Índice de Desempenho no Prêmio CNJ de Qualidade: Eixo
Produtividade"; Institucional;2015;;sem informação
"Índice de Desempenho no Prêmio CNJ de Qualidade: Eixo
Produtividade"; Institucional;2016;;sem informação
"Índice de Desempenho no Prêmio CNJ de Qualidade: Eixo
Produtividade"; Institucional;2017;;sem informação
"Índice de Desempenho no Prêmio CNJ de Qualidade: Eixo
Produtividade"; Institucional;2018;;sem informação
"Índice de Desempenho no Prêmio CNJ de Qualidade: Eixo
Produtividade"; Institucional;2019;;sem informação
"Índice de Desempenho no Prêmio CNJ de Qualidade: Eixo
Produtividade"; Institucional;2020;;sem informação
Índice de Prescrição;Nacional;2015;;sem informação
Índice de Prescrição;Nacional;2016;;sem informação
Índice de Prescrição;Nacional;2017;;sem informação
Índice de Prescrição;Nacional;2018;;sem informação
Índice de Prescrição;Nacional;2019;;sem informação
Índice de Prescrição;Nacional;2020;;sem informação
TpCpICE - Tempo Médio dos Processos Pendentes de Improbidade, Corrupção e Crimes Eleitorais;Nacional;2015;;sem informação
TpCpICE - Tempo Médio dos Processos Pendentes de Improbidade, Corrupção e Crimes Eleitorais;Nacional;2016;;sem informação
TpCpICE - Tempo Médio dos Processos Pendentes de Improbidade, Corrupção e Crimes Eleitorais;Nacional;2017;;sem informação
TpCpICE - Tempo Médio dos Processos Pendentes de Improbidade, Corrupção e Crimes Eleitorais;Nacional;2018;;sem informação
TpCpICE - Tempo Médio dos Processos Pendentes de Improbidade, Corrupção e Crimes Eleitorais;Nacional;2019;;sem informação
TpCpICE - Tempo Médio dos Processos Pendentes de Improbidade, Corrupção e Crimes Eleitorais;Nacional;2020;;sem informação
 Índice de Processos Administrativos Disciplinares Baixados;Nacional;2015;;sem informação
 Índice de Processos Administrativos Disciplinares Baixados;Nacional;2016;;sem informação
 Índice de Processos Administrativos Disciplinares Baixados;Nacional;2017;;sem informação
 Índice de Processos Administrativos Disciplinares Baixados;Nacional;2018;;sem informação
 Índice de Processos Administrativos Disciplinares Baixados;Nacional;2019;;sem informação
 Índice de Processos Administrativos Disciplinares Baixados;Nacional;2020;;sem informação
Índice de Conciliação;Nacional;2015;;sem informação
Índice de Conciliação;Nacional;2016;;sem informação
Índice de Conciliação;Nacional;2017;;sem informação
Índice de Conciliação;Nacional;2018;Percentual;11,73%
Índice de Conciliação;Nacional;2019;Percentual;12,69%
Índice de Conciliação;Nacional;2020;Percentual;11,54%
"Índice de Audiência de Conciliação e Mediação Realizada nas fases pre-processual e
conhecimento.
"; Institucional;2015;;sem informação
"Índice de Audiência de Conciliação e Mediação Realizada nas fases pre-processual e
conhecimento.
"; Institucional;2016;;sem informação
"Índice de Audiência de Conciliação e Mediação Realizada nas fases pre-processual e
conhecimento.
"; Institucional;2017;;sem informação
"Índice de Audiência de Conciliação e Mediação Realizada nas fases pre-processual e
conhecimento.
"; Institucional;2018;;sem informação
"Índice de Audiência de Conciliação e Mediação Realizada nas fases pre-processual e
conhecimento.
"; Institucional;2019;;sem informação
"Índice de Audiência de Conciliação e Mediação Realizada nas fases pre-processual e
conhecimento.
"; Institucional;2020;;sem informação
"Índice de sentenças e decisões terminativas homologatórias do 2º grau e Turmas
Recursais.
"; Institucional;2015;;sem informação
"Índice de sentenças e decisões terminativas homologatórias do 2º grau e Turmas
Recursais.
"; Institucional;2016;;sem informação
"Índice de sentenças e decisões terminativas homologatórias do 2º grau e Turmas
Recursais.
"; Institucional;2017;;sem informação
"Índice de sentenças e decisões terminativas homologatórias do 2º grau e Turmas
Recursais.
"; Institucional;2018;;sem informação
"Índice de sentenças e decisões terminativas homologatórias do 2º grau e Turmas
Recursais.
"; Institucional;2019;;sem informação
"Índice de sentenças e decisões terminativas homologatórias do 2º grau e Turmas
Recursais.
"; Institucional;2020;;sem informação
"Índice de sentenças e decisões terminativas homologatórias do 2º grau e Turmas
Recursais.
"; Institucional;2021;;sem informação
" Tempo Médio entre o Trânsito em Julgado ou Sentença de Mérito do Precedente e a Sentença
de Aplicação da Tese";Nacional;2015;;sem informação
" Tempo Médio entre o Trânsito em Julgado ou Sentença de Mérito do Precedente e a Sentença
de Aplicação da Tese";Nacional;2016;;sem informação
" Tempo Médio entre o Trânsito em Julgado ou Sentença de Mérito do Precedente e a Sentença
de Aplicação da Tese";Nacional;2017;;sem informação
" Tempo Médio entre o Trânsito em Julgado ou Sentença de Mérito do Precedente e a Sentença
de Aplicação da Tese";Nacional;2018;;sem informação
" Tempo Médio entre o Trânsito em Julgado ou Sentença de Mérito do Precedente e a Sentença
de Aplicação da Tese";Nacional;2019;;sem informação
" Tempo Médio entre o Trânsito em Julgado ou Sentença de Mérito do Precedente e a Sentença
de Aplicação da Tese";Nacional;2020;;sem informação
" Tempo Médio entre Afetação/Admissão e a Publicação de Acórdão d
Mérito nos Incidentes de Resolução de Demandas Repetitivas (IRDR)";Nacional;2015;;sem informação
" Tempo Médio entre Afetação/Admissão e a Publicação de Acórdão d
Mérito nos Incidentes de Resolução de Demandas Repetitivas (IRDR)";Nacional;2016;;sem informação
" Tempo Médio entre Afetação/Admissão e a Publicação de Acórdão d
Mérito nos Incidentes de Resolução de Demandas Repetitivas (IRDR)";Nacional;2017;;sem informação
" Tempo Médio entre Afetação/Admissão e a Publicação de Acórdão d
Mérito nos Incidentes de Resolução de Demandas Repetitivas (IRDR)";Nacional;2018;;sem informação
" Tempo Médio entre Afetação/Admissão e a Publicação de Acórdão d
Mérito nos Incidentes de Resolução de Demandas Repetitivas (IRDR)";Nacional;2019;;sem informação
" Tempo Médio entre Afetação/Admissão e a Publicação de Acórdão d
Mérito nos Incidentes de Resolução de Demandas Repetitivas (IRDR)";Nacional;2020;;sem informação
Indicador Nacional: IDS - Índice de Desempenho de Sustentabilidade;Nacional;2015;;sem informação
Indicador Nacional: IDS - Índice de Desempenho de Sustentabilidade;Nacional;2016;;sem informação
Indicador Nacional: IDS - Índice de Desempenho de Sustentabilidade;Nacional;2017;;sem informação
Indicador Nacional: IDS - Índice de Desempenho de Sustentabilidade;Nacional;2018;;sem informação
Indicador Nacional: IDS - Índice de Desempenho de Sustentabilidade;Nacional;2019;Percentual;18,80%
Indicador Nacional: IDS - Índice de Desempenho de Sustentabilidade;Nacional;2020;Percentual;54,20%
Taxa de Encarceramento;Nacional;2015;;sem informação
Taxa de Encarceramento;Nacional;2016;;sem informação
Taxa de Encarceramento;Nacional;2017;;sem informação
Taxa de Encarceramento;Nacional;2018;decimal;126
Taxa de Encarceramento;Nacional;2019;decimal;168
Taxa de Encarceramento;Nacional;2020;decimal;202
" TpCpCCrim - Tempo Médio dos Processos Criminais pendentes na Fase
de Conhecimento
";Nacional;2015;;sem informação
" TpCpCCrim - Tempo Médio dos Processos Criminais pendentes na Fase
de Conhecimento
";Nacional;2016;;sem informação
" TpCpCCrim - Tempo Médio dos Processos Criminais pendentes na Fase
de Conhecimento
";Nacional;2017;;sem informação
" TpCpCCrim - Tempo Médio dos Processos Criminais pendentes na Fase
de Conhecimento
";Nacional;2018;;sem informação
" TpCpCCrim - Tempo Médio dos Processos Criminais pendentes na Fase
de Conhecimento
";Nacional;2019;;sem informação
" TpCpCCrim - Tempo Médio dos Processos Criminais pendentes na Fase
de Conhecimento
";Nacional;2020;;sem informação
Índice de Desempenho no Prêmio CNJ de Qualidade: Eixos Governança e Dados e Tecnologia;Nacional;2015;;sem informação
Índice de Desempenho no Prêmio CNJ de Qualidade: Eixos Governança e Dados e Tecnologia;Nacional;2016;;sem informação
Índice de Desempenho no Prêmio CNJ de Qualidade: Eixos Governança e Dados e Tecnologia;Nacional;2017;;sem informação
Índice de Desempenho no Prêmio CNJ de Qualidade: Eixos Governança e Dados e Tecnologia;Nacional;2018;;sem informação
Índice de Desempenho no Prêmio CNJ de Qualidade: Eixos Governança e Dados e Tecnologia;Nacional;2019;;sem informação
